,count,mean,std,min,25%,50%,75%,max
CPU_Load,2748440.0,10.35987010636491,14.212216908587752,0.0,0.6954999999999999,1.9733333333333327,17.0345,68.36266666666667
Power,2748442.0,205.5824421083852,65.552486263549,55.86666666666666,160.93333333333334,176.0,245.06666666666663,448.0
Network_RX,2748442.0,2875071.981368798,17711473.04705472,0.0,43322.2494675875,63943.55130464166,324687.5936096208,1065749472.9120804
Network_TX,2748439.0,2286192.114021258,14662478.159418331,0.0,59063.38281761667,152580.2501558,641796.0305102665,1124093365.304173
Inlet_Temperature,2664726.0,17.738659128555806,3.66875636783252,4.0,17.0,18.1,19.866666666666667,25.75
CPU1_Temperature,2748439.0,57.007875156959464,11.063172231994548,29.148148148148145,48.61666666666667,55.51666666666667,64.53333333333333,82.0166666666667
CPU2_Temperature,2748434.0,48.297561968551825,8.792394704383558,25.466666666666665,41.066666666666656,47.10000000000001,54.91666666666667,77.95
Fan_speed1,2664725.0,8804.386699347753,2687.122326708672,280.0,7354.666666666666,9101.166666666666,10470.833333333332,13913.666666666668
Fan_speed2,2664726.0,8820.237559905572,2686.208161265098,280.0,7381.499999999998,9111.666666666666,10500.0,13941.666666666666
Fan_speed3,2664732.0,8810.56132891166,2679.739760945978,280.0,7362.833333333334,9101.166666666668,10484.833333333332,13930.0
Fan_speed4,2664732.0,8800.326182695551,2673.962095355468,280.0,7367.5,9086.0,10466.166666666666,13916.0
Ram,2738036.0,64.48218236682625,0.012486349065387642,64.454875,64.486875,64.488,64.488,64.488
Ram_Used,2738036.0,35.6095769501194,14.121176093442394,0.49675,27.71875,35.14275,45.73475,64.42275
No_Of_Running_vms,2738036.0,9.666469446361202,5.5828913833842355,0.0,7.0,9.0,12.0,54.35
CPU_cores,2738036.0,90.10008633925924,31.451413005992553,64.0,64.0,64.0,128.0,128.0
CPU_cores_used,2737581.0,55.932256801682726,20.276248186544247,0.0,50.0,60.0,64.0,128.0
